CEO Name,Founder (Y/N),Total Stock Return (TSR) During CEO's Tenure,Company Name,Ticker,Industry,Sector,CEO Compensation ($ millions),Equity Transactions,CEO Start Date,Start Date Stock Price,Stock Price
George Kurtz,Y,729%,Crowdstrike Holdings Inc.,CRWD,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/kurtz-george-1087995,2019-06-11,$58.00 ,$480.62 
Chuck Robbins,N,202%,Cisco Systems,CSCO,Computer Communications Equipment,Telecommunications, ,https://www.nasdaq.com/market-activity/insiders/robbins-charles-890771,2015-07-26,$21.25 ,$64.09 
Andy Florance,Y,8722%,CoStar Group Inc.,CSGP,Business Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/florance-andrew-c-53610,1998-06-29,$0.92 ,$81.16 
Joseph Hinrichs,N,20%,CSX Corp.,CSX,Railroads,Industrials, ,https://www.nasdaq.com/market-activity/insiders/hinrichs-joseph-r-767191,2022-09-26,$26.78 ,$32.12 
Todd M. Schneider,N,-35%,Cintas Corp.,CTAS,Apparel,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/schneider-todd-m-1058473,2021-06-01,$342.72 ,$221.98 
Ravi Kumar S,N,42%,Cognizant Technology Solutions,CTSH,EDP Services,Technology, ,https://www.nasdaq.com/market-activity/insiders/singisetti-ravi-kumar-1168576,2023-01-01,$55.75 ,$78.95 
Tony Xu,Y,16%,DoorDash Inc.,DASH,Business Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/xu-tony-1137088,2020-12-09,$189.51 ,$218.96 
Olivier Pomel,Y,221%,Datadog Inc.,DDOG,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/pomel-olivier-1096392,2019-09-19,$37.55 ,$120.45 
Kevin Sayer,N,502%,Dexcom Inc.,DXCM,Medical/Dental Instruments,Health Care, ,https://www.nasdaq.com/market-activity/insiders/sayer-kevin-r-631265,2015-01-01,$13.63 ,$81.99 
Andrew Wilson,N,449%,Electronic Arts Inc.,EA,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/wilson-andrew-879070,2013-09-17,$27.03 ,$148.48 
Calvin G. Butler Jr.,N,6%,Exelon Corp.,EXC,Power Generation,Utilities, ,https://www.nasdaq.com/market-activity/insiders/butler-calvin-jr-928874,2022-12-31,$40.81 ,$43.25 
Kaes Van't Hof,N,16%,Diamondback Energy Inc.,FANG,Oil & Gas Production,Energy, ,https://www.nasdaq.com/market-activity/insiders/vant-hof-matthew-kaes-1021646,2025-05-01,$133.90 ,$154.91 
